Date,brazil_drawdown_pressure_weighted,brazil_vol_pressure_weighted,external_brazil_pressure_weighted,global_equity_pressure_weighted,fx_pressure_weighted,vix_pressure_weighted,bsti_raw_score,bsti_0_100,bsti_regime,stress_breadth,active_pressure_channels,dominant_pressure_channel,dominant_pressure_value,brazil_drawdown_pressure,brazil_vol_pressure,external_brazil_pressure,global_equity_pressure,fx_pressure,vix_pressure,bsti_state,previous_bsti_state,next_bsti_state,state_changed,warning_threshold,stress_threshold
2014-04-15,0.0,0.2428720682506194,0.4733216425165308,0.0,0.005325265926542014,0.0,0.7215189766936922,24.050632556456407,fragile,0.3333333333333333,2,external_brazil_pressure,2.366608212582654,0.0,1.6191471216707962,2.366608212582654,0.0,0.03550177284361343,0.0,warning,normal,normal,True,15.0,33.0
2014-04-16,0.0,0.20345813417847236,0.0,0.0,0.22116550491184306,0.0,0.4246236390903154,14.154121303010514,calm,0.3333333333333333,2,fx_pressure,1.474436699412287,0.0,1.3563875611898157,0.0,0.0,1.474436699412287,0.0,normal,warning,normal,True,15.0,33.0
2014-04-17,0.0,0.23059717943063435,0.0,0.0,0.05903856396839842,0.0,0.28963574339903275,9.654524779967758,calm,0.16666666666666666,1,brazil_vol_pressure,1.5373145295375623,0.0,1.5373145295375623,0.0,0.0,0.39359042645598946,0.0,normal,normal,normal,False,15.0,33.0
2014-04-18,0.0,0.22063612500394844,0.024896472759619964,0.005420423999822665,0.0,0.0,0.25095302176339107,8.365100725446368,calm,0.16666666666666666,1,brazil_vol_pressure,1.470907500026323,0.0,1.470907500026323,0.12448236379809981,0.03613615999881777,0.0,0.0,normal,normal,normal,False,15.0,33.0
2014-04-21,0.0,0.21921836727523114,0.1249234379217255,0.0,0.01863102285096497,0.0,0.3627728280479216,12.092427601597388,calm,0.16666666666666666,1,brazil_vol_pressure,1.4614557818348743,0.0,1.4614557818348743,0.6246171896086274,0.0,0.12420681900643314,0.0,normal,normal,normal,False,15.0,33.0
2014-04-22,0.0,0.19589681435908637,0.12270333967708476,0.0,0.02044157940457618,0.0,0.33904173344074734,11.301391114691578,calm,0.16666666666666666,1,brazil_vol_pressure,1.3059787623939092,0.0,1.3059787623939092,0.6135166983854238,0.0,0.13627719603050786,0.0,normal,normal,normal,False,15.0,33.0
2014-04-23,0.0,0.22167112683950776,0.01369114249370434,0.06345491684535114,0.10831011502657552,0.019223708476961393,0.42635100968210016,14.211700322736673,calm,0.16666666666666666,1,brazil_vol_pressure,1.4778075122633851,0.0,1.4778075122633851,0.0684557124685217,0.4230327789690076,0.7220674335105035,0.12815805651307596,normal,normal,normal,False,15.0,33.0
2014-04-24,0.0,0.19616976513171056,0.0,0.0,0.0,0.012689952997746631,0.2088597181294572,6.96199060431524,calm,0.16666666666666666,1,brazil_vol_pressure,1.3077984342114037,0.0,1.3077984342114037,0.0,0.0,0.0,0.0845996866516442,normal,normal,normal,False,15.0,33.0
2014-04-25,0.0,0.0,0.12833495742449436,0.177400158733933,0.0,0.12269343349029475,0.4284285496487221,14.280951654957406,calm,0.3333333333333333,2,global_equity_pressure,1.1826677248928867,0.0,0.0,0.6416747871224717,1.1826677248928867,0.0,0.8179562232686317,normal,normal,normal,False,15.0,33.0
2014-04-28,0.0,0.0,0.0,0.0,0.31346968086301824,0.0,0.31346968086301824,10.448989362100608,calm,0.16666666666666666,1,fx_pressure,2.089797872420122,0.0,0.0,0.0,0.0,2.089797872420122,0.0,normal,normal,normal,False,15.0,33.0
