date,bsti_0_100,bsti_regime,dominant_pressure_channel,selected_strategy,selected_return,benchmark_return,active_return,warning_threshold,stress_threshold
2025-08-11,18.836897812662336,fragile,vix_pressure,covered_call,-0.0036366658428104355,-0.0074906367041198685,0.003853970861309433,15.0,33.0
2025-09-09,10.74781414448463,calm,brazil_vol_pressure,passive_brazil_equity,0.046037781913325526,0.046037781913325526,0.0,15.0,33.0
2025-10-08,9.540286538676709,calm,fx_pressure,passive_brazil_equity,0.004328938083007383,0.004328938083007383,0.0,15.0,33.0
2025-11-06,13.685825057143605,calm,global_equity_pressure,passive_brazil_equity,0.07830466518850798,0.07830466518850798,0.0,15.0,33.0
2025-12-05,55.150287863931204,extreme_stress,brazil_vol_pressure,collar,0.02935122210452505,0.027181788183618716,0.0021694339209063357,15.0,33.0
2026-01-07,10.309017673479165,calm,external_brazil_pressure,passive_brazil_equity,0.029965044723356593,0.029965044723356593,0.0,15.0,33.0
2026-02-05,28.252422324010425,fragile,vix_pressure,covered_call,0.036106873108677356,0.12499993994494352,-0.08889306683626616,15.0,33.0
2026-03-06,50.80086455271166,extreme_stress,brazil_drawdown_pressure,collar,-0.01113731556806544,-0.015449172130591715,0.004311856562526275,15.0,33.0
2026-04-06,5.871894316312438,calm,brazil_vol_pressure,passive_brazil_equity,0.049292161004212076,0.049292161004212076,0.0,15.0,33.0
2026-05-05,13.088529167661953,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.006989560593829491,-0.006989560593829491,0.0,15.0,33.0
2026-06-03,31.37302813792538,fragile,brazil_drawdown_pressure,covered_call,-0.07584851537027329,-0.08724835008675125,0.011399834716477958,15.0,33.0
2026-06-08,29.826795501579433,fragile,fx_pressure,covered_call,0.00017948225398420727,-0.010640834482820272,0.010820316736804479,15.0,33.0
